year,university,load,description,materials
2023-2024,"Computer Science Department, ENSAI, France",12h (TP),UE 1-07 - Optimization and numerical methods,https://github.com/TheoGuyard/course_2024_ENSAI_UE-1-07-Optimization
2023-2024,"Applied Mathematics Department, INSA Rennes, France",10h (TP),DMA06-OD - Discrete optimization methods,https://github.com/TheoGuyard/course_2023_INSA_DMA06-OD
2023-2024,"Applied Mathematics Department, INSA Rennes, France",13h (CM/TP/TD),DMA09-PARCI - Sparse models and methods,https://github.com/TheoGuyard/course_2023_INSA_DMA09-PARCI
2022-2023,"Applied Mathematics Department, INSA Rennes, France",10h (TD/TP),DMA06-OD - Discrete optimization methods,https://github.com/TheoGuyard/course_2022_INSA_DMA06-OD
2022-2023,"Applied Mathematics Department, INSA Rennes, France",11h (CM/TD/TP),DMA09-PARCI - Sparse models and methods,https://github.com/TheoGuyard/course_2022_INSA_DMA09-PARCI
2022-2023,"Applied Mathematics Department, INSA Rennes, France",11h (CM),MathC2+ - Masterclasses for high school students about advanced math tools,https://github.com/TheoGuyard/course_2022_INSA_MathC2plus
2021-2022,"Engineering Department, INSA Rennes, France",36h (TD),STP03-ALG3 - Linear algebra,https://github.com/TheoGuyard/course_2022_INSA_STP03-ALG3
